,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
495,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922,https://en.wikipedia.org/wiki/Wynn_Resorts_Ltd
496,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903,https://en.wikipedia.org/wiki/Xcel_Energy_Inc
497,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",108772,https://en.wikipedia.org/wiki/Xerox
498,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",743988,https://en.wikipedia.org/wiki/Xilinx
499,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",1524472,https://en.wikipedia.org/wiki/Xylem_Inc.
500,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061,https://en.wikipedia.org/wiki/Yum!_Brands_Inc
501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",877212,https://en.wikipedia.org/wiki/Zebra_Technologies
502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869,https://en.wikipedia.org/wiki/Zimmer_Holdings
503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",109380,https://en.wikipedia.org/wiki/Zions_Bancorp
504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280,https://en.wikipedia.org/wiki/Zoetis
